Model,Scaler,Resampler,Best_Params,Threshold,Training_Accuracy,Testing_Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC
Random Forest,MaxAbsScaler,RandomOverSampler,"{'max_depth': None, 'n_estimators': 200}",0.5,1.0,0.948019801980198,0.0,0.0,0.0,0.660833902939166,0.09173120286939387
Gradient Boosting,MaxAbsScaler,RandomOverSampler,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",0.5,1.0,0.9405940594059405,0.0,0.0,0.0,0.5120984278879015,0.0471960346737657
XGBoost,MaxAbsScaler,RandomOverSampler,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 20.677419354838708}",0.5,1.0,0.9232673267326733,0.0,0.0,0.0,0.4910457963089542,0.043788654007837886
LightGBM,MaxAbsScaler,RandomOverSampler,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}",0.5,1.0,0.9455445544554455,0.0,0.0,0.0,0.5384825700615173,0.05972033639152991
CatBoost,MaxAbsScaler,RandomOverSampler,"{'depth': 5, 'iterations': 200, 'learning_rate': 0.1}",0.5,0.9996749024707412,0.9405940594059405,0.14285714285714285,0.05263157894736842,0.07692307692307693,0.5119617224880383,0.06606502570932755
RUSBoost,MaxAbsScaler,RandomOverSampler,Default,0.5,0.8250975292587777,0.7995049504950495,0.10256410256410256,0.42105263157894735,0.16494845360824742,0.6494873547505127,0.09162984141558361
KNN,MaxAbsScaler,RandomOverSampler,"{'n_neighbors': 5, 'weights': 'distance'}",0.5,1.0,0.8366336633663366,0.02040816326530612,0.05263157894736842,0.029411764705882353,0.5315105946684895,0.05366389211193053
Naive Bayes,MaxAbsScaler,RandomOverSampler,Default,0.5,0.6355656697009102,0.39603960396039606,0.05179282868525897,0.6842105263157895,0.0962962962962963,0.6047846889952153,0.06829983354509678
MLP,MaxAbsScaler,RandomOverSampler,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50,)}",0.5,0.8917425227568271,0.8787128712871287,0.14285714285714285,0.3157894736842105,0.19672131147540983,0.5840054682159945,0.08183291474601044
Logistic Regression,MaxAbsScaler,SMOTE,"{'C': 10, 'solver': 'lbfgs'}",0.5,0.7431729518855656,0.693069306930693,0.05128205128205128,0.3157894736842105,0.08823529411764706,0.6079289131920711,0.07697085947382473
Balanced Bagging,MaxAbsScaler,SMOTE,"{'max_features': 0.5, 'max_samples': 1.0}",0.5,0.9993498049414824,0.9529702970297029,0.0,0.0,0.0,0.6771701982228298,0.11919630104434084
Random Forest,MaxAbsScaler,SMOTE,"{'max_depth': None, 'n_estimators': 100}",0.5,1.0,0.9529702970297029,0.0,0.0,0.0,0.5885850991114149,0.06989908240156265
Gradient Boosting,MaxAbsScaler,SMOTE,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.5,0.979518855656697,0.9504950495049505,0.0,0.0,0.0,0.6190020505809979,0.0762619840103104
XGBoost,MaxAbsScaler,SMOTE,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': 20.677419354838708}",0.5,1.0,0.9405940594059405,0.0,0.0,0.0,0.5924812030075188,0.06436672088274997
LightGBM,MaxAbsScaler,SMOTE,"{'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}",0.5,1.0,0.948019801980198,0.0,0.0,0.0,0.556390977443609,0.05729288700587403
CatBoost,MaxAbsScaler,SMOTE,"{'depth': 3, 'iterations': 200, 'learning_rate': 0.1}",0.5,0.9817945383615084,0.9504950495049505,0.3333333333333333,0.05263157894736842,0.09090909090909091,0.5872863978127136,0.08161410114490261
RUSBoost,MaxAbsScaler,SMOTE,Default,0.5,0.973667100130039,0.9529702970297029,0.0,0.0,0.0,0.5505809979494191,0.07146051707116863
