Actual,Predicted,Probabilities
0.0,0,0.29758778479919157
0.0,0,0.0006022851644461995
0.0,0,0.06791424310688127
0.0,0,0.005155041221572335
0.0,0,0.001619282235581922
0.0,0,0.03580019581739214
0.0,0,0.04758202381656071
0.0,0,0.003987777498234811
0.0,1,0.840869775125851
0.0,0,0.008663321722541853
0.0,0,0.29758778092961063
0.0,0,0.2975879368380504
0.0,1,0.8385703597514658
0.0,0,0.00036567469526891224
0.0,0,0.05178016613097106
0.0,0,0.002707382822122219
0.0,1,0.6524842702860768
0.0,0,0.010635702931940069
0.0,0,0.23130890122305608
0.0,0,0.18760926179729362
0.0,0,0.0018768694975008432
0.0,0,0.002992043120587911
0.0,0,0.00034565191556051715
0.0,0,0.2975877806298764
0.0,0,0.0009122878255737961
0.0,0,0.4023808683626657
0.0,0,0.4570185430562462
0.0,0,0.3001774288142421
0.0,0,0.0283093458588634
0.0,0,0.10731242569098974
0.0,0,0.00027862119843644203
0.0,0,0.0007926228565880157
0.0,0,0.09566400630072501
0.0,0,0.24674683115644128
0.0,1,0.8347702323678392
1.0,1,0.8414009132470086
0.0,0,0.03556233537021708
0.0,0,0.29804399904245776
0.0,0,0.43283415163321626
0.0,1,0.6013105601697853
0.0,1,0.639571870795557
0.0,0,0.014264815589571815
0.0,0,0.30386150027281805
0.0,0,0.010498712802626738
0.0,0,0.11675014671578976
0.0,0,0.29744943933066287
1.0,1,0.6638097383749956
0.0,1,0.840809755867949
0.0,0,0.07310896164596144
0.0,0,0.0014743538214751924
0.0,0,0.33236512665147705
0.0,0,0.01873619684327002
0.0,0,0.3125016645177383
0.0,0,0.2975901698059231
0.0,0,0.2978170370470086
1.0,0,0.31552468719380083
0.0,0,0.2975919955082141
0.0,0,0.007567051285992737
0.0,0,0.010837654732434438
0.0,0,0.017766698238448866
0.0,0,0.0004270272581551335
0.0,0,0.1867775444492202
1.0,0,0.2975877848174179
0.0,0,0.012655014714958984
0.0,0,8.72086978203431e-05
1.0,0,0.010515604948133314
0.0,0,0.29762097447651925
0.0,0,0.2975877811364264
0.0,1,0.782152886749213
0.0,0,0.007565360446859768
0.0,0,0.2840029703444312
0.0,0,0.01441162555325806
0.0,0,0.0196224780601693
0.0,0,0.29758824544038226
0.0,0,0.28628030725018544
0.0,0,0.11034738286450377
0.0,0,0.0056156140396690715
0.0,0,0.1118935843684989
0.0,0,0.010710484664440113
0.0,0,0.30260602917108353
0.0,0,0.01703450922157349
0.0,0,0.2977050859342358
0.0,0,0.2976008426027128
0.0,0,0.0006200412660482459
0.0,0,0.0002917604186196567
0.0,0,0.022006983307127206
0.0,0,0.29758779958728004
0.0,1,0.8446501613638094
0.0,0,0.3010612486354274
0.0,0,0.0003164417224830287
0.0,0,0.00681187373690066
0.0,1,0.8088945294614116
0.0,0,0.23989574002099628
0.0,0,5.613964268380874e-05
0.0,0,0.008495161519797645
0.0,0,0.29717070945955826
0.0,0,0.3803064877376167
0.0,0,0.009640746458460428
0.0,0,0.31980263345653115
0.0,1,0.8266322950083975
0.0,0,0.09749307065748519
0.0,0,0.2976094859262532
0.0,0,0.29780652399550556
0.0,0,0.01318405008144787
0.0,0,0.0025983043401318373
0.0,0,0.026883086272330756
0.0,0,0.004250112556748495
0.0,0,0.1319127112469027
0.0,0,0.002518175423297787
0.0,0,0.1537966555074686
0.0,0,0.019935697160659904
0.0,0,0.4216435780704974
0.0,0,0.04710219586744017
0.0,0,0.004066032532261266
0.0,0,0.3062103835143276
0.0,0,0.2688198675904856
0.0,1,0.667341667924524
0.0,0,0.2975880300894137
0.0,0,0.12447138636094808
0.0,0,0.00013651805450317814
0.0,0,0.0004697994466234342
0.0,0,0.29962519268878807
0.0,0,0.29873424737827736
0.0,0,0.29758795706237207
0.0,0,0.0006223179001032338
0.0,0,0.2975830656036338
0.0,0,4.424019456108959e-05
0.0,0,0.0007668643953037028
0.0,0,0.0012572495883993618
0.0,0,0.4785674376415435
0.0,0,0.007031738317303505
0.0,0,0.018321359832150066
0.0,0,0.29760051787480407
0.0,0,0.28994533305596437
0.0,0,0.07449917479948305
0.0,0,0.005399981393606475
0.0,0,0.005793651504399158
