RB_4800kcal_fob,RB_5500kcal_fob,RB_6000kcal_avg,India_5500kcal_cfr,year,month,day,day_of_week,quarter,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7
0.04523207830843545,0.0509863772539709,0.06059263138811111,0.06332182472636447,0.0,0.2727272727272727,0.43333333333333335,0.25,0.3333333333333333,0.43274682859726726,0.04850808867585382,0.08824445775913725,0.08824445775913725,0.08824445775913725,0.08824445775913725,0.09591372079089278
0.04523207830843545,0.0509863772539709,0.06059263138811111,0.06332182472636447,0.0,0.2727272727272727,0.4666666666666667,0.5,0.3333333333333333,0.04850808867585382,0.43274682859726726,0.04850808867585382,0.08824445775913725,0.08824445775913725,0.08824445775913725,0.08824445775913725
0.04523207830843545,0.0509863772539709,0.06059263138811111,0.06332182472636447,0.0,0.2727272727272727,0.5,0.75,0.3333333333333333,0.04850808867585382,0.04850808867585382,0.43274682859726726,0.04850808867585382,0.08824445775913725,0.08824445775913725,0.08824445775913725
0.030325325485429128,0.021932055847606075,0.028886247809358834,0.03467273929332254,0.0,0.2727272727272727,0.5333333333333333,1.0,0.3333333333333333,0.04850808867585382,0.04850808867585382,0.04850808867585382,0.43274682859726726,0.04850808867585382,0.08824445775913725,0.08824445775913725
0.030325325485429128,0.021932055847606075,0.028886247809358834,0.03467273929332254,0.0,0.2727272727272727,0.6333333333333333,0.0,0.3333333333333333,0.03072498502097068,0.04850808867585382,0.04850808867585382,0.04850808867585382,0.43274682859726726,0.04850808867585382,0.08824445775913725
0.030325325485429128,0.021932055847606075,0.028886247809358834,0.03467273929332254,0.0,0.2727272727272727,0.6666666666666666,0.25,0.3333333333333333,0.03072498502097068,0.03072498502097068,0.04850808867585382,0.04850808867585382,0.04850808867585382,0.43274682859726726,0.04850808867585382
0.030325325485429128,0.021932055847606075,0.028886247809358834,0.03467273929332254,0.0,0.2727272727272727,0.7,0.5,0.3333333333333333,0.03072498502097068,0.03072498502097068,0.03072498502097068,0.04850808867585382,0.04850808867585382,0.04850808867585382,0.43274682859726726
0.030325325485429128,0.021932055847606075,0.028886247809358834,0.03467273929332254,0.0,0.2727272727272727,0.7333333333333333,0.75,0.3333333333333333,0.03072498502097068,0.03072498502097068,0.03072498502097068,0.03072498502097068,0.04850808867585382,0.04850808867585382,0.04850808867585382
0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.7666666666666667,1.0,0.3333333333333333,0.03072498502097068,0.03072498502097068,0.03072498502097068,0.03072498502097068,0.03072498502097068,0.04850808867585382,0.04850808867585382
0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.8666666666666667,0.0,0.3333333333333333,0.0,0.03072498502097068,0.03072498502097068,0.03072498502097068,0.03072498502097068,0.03072498502097068,0.04850808867585382
0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.9,0.25,0.3333333333333333,0.0,0.0,0.03072498502097068,0.03072498502097068,0.03072498502097068,0.03072498502097068,0.03072498502097068
0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.9333333333333333,0.5,0.3333333333333333,0.0,0.0,0.0,0.03072498502097068,0.03072498502097068,0.03072498502097068,0.03072498502097068
0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.9666666666666667,0.75,0.3333333333333333,0.0,0.0,0.0,0.0,0.03072498502097068,0.03072498502097068,0.03072498502097068
0.020792680976296357,0.019275337742354848,0.019902101001148198,0.005778789882220414,0.0,0.36363636363636365,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.03072498502097068,0.03072498502097068
0.020792680976296357,0.019275337742354848,0.019902101001148198,0.005778789882220414,0.0,0.36363636363636365,0.1,0.0,0.3333333333333333,0.015338526063511104,0.0,0.0,0.0,0.0,0.0,0.03072498502097068
0.020792680976296357,0.019275337742354848,0.019902101001148198,0.005778789882220414,0.0,0.36363636363636365,0.13333333333333333,0.25,0.3333333333333333,0.015338526063511104,0.015338526063511104,0.0,0.0,0.0,0.0,0.0
0.020792680976296357,0.019275337742354848,0.019902101001148198,0.005778789882220414,0.0,0.36363636363636365,0.16666666666666669,0.5,0.3333333333333333,0.015338526063511104,0.015338526063511104,0.015338526063511104,0.0,0.0,0.0,0.0
0.031093055244553913,0.03459386128539932,0.029732288540176843,0.019393227062366847,0.0,0.36363636363636365,0.2,0.75,0.3333333333333333,0.015338526063511104,0.015338526063511104,0.015338526063511104,0.015338526063511104,0.0,0.0,0.0
0.39156254451616557,0.4453855374524426,0.029732288540176843,0.40133063854564355,0.0,0.36363636363636365,0.23333333333333334,1.0,0.3333333333333333,0.028615937687237886,0.015338526063511104,0.015338526063511104,0.015338526063511104,0.015338526063511104,0.0,0.0
0.031093055244553913,0.03459386128539932,0.029732288540176843,0.019393227062366847,0.0,0.36363636363636365,0.3333333333333333,0.0,0.3333333333333333,0.43274682859726726,0.028615937687237886,0.015338526063511104,0.015338526063511104,0.015338526063511104,0.015338526063511104,0.0
0.031093055244553913,0.03459386128539932,0.029732288540176843,0.019393227062366847,0.0,0.36363636363636365,0.3666666666666667,0.25,0.3333333333333333,0.028615937687237886,0.43274682859726726,0.028615937687237886,0.015338526063511104,0.015338526063511104,0.015338526063511104,0.015338526063511104
0.031093055244553913,0.03459386128539932,0.029732288540176843,0.019393227062366847,0.0,0.36363636363636365,0.4,0.5,0.3333333333333333,0.028615937687237886,0.028615937687237886,0.43274682859726726,0.028615937687237886,0.015338526063511104,0.015338526063511104,0.015338526063511104
